Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sri Lanka,LKA,2016,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,1.3
Sri Lanka,LKA,2012,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,2.6
Sri Lanka,LKA,2009,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,3.5
Sri Lanka,LKA,2006,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,5.6
Sri Lanka,LKA,2002,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,11
Sri Lanka,LKA,1995,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,11.8
Sri Lanka,LKA,1990,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,11.6
Sri Lanka,LKA,1985,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,17.2
Sri Lanka,LKA,2019,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.1
Sri Lanka,LKA,2016,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.2
Sri Lanka,LKA,2012,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.4
Sri Lanka,LKA,2009,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.6
Sri Lanka,LKA,2006,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.9
Sri Lanka,LKA,2002,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,2
Sri Lanka,LKA,1995,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,2.2
Sri Lanka,LKA,1990,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,2.1
Sri Lanka,LKA,1985,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,3.3
Sri Lanka,LKA,2019,Gini index,SI.POV.GINI,37.7
Sri Lanka,LKA,2016,Gini index,SI.POV.GINI,39.3
Sri Lanka,LKA,2012,Gini index,SI.POV.GINI,38.7
Sri Lanka,LKA,2009,Gini index,SI.POV.GINI,36.1
Sri Lanka,LKA,2006,Gini index,SI.POV.GINI,39.7
Sri Lanka,LKA,2002,Gini index,SI.POV.GINI,40.2
Sri Lanka,LKA,1995,Gini index,SI.POV.GINI,35.4
Sri Lanka,LKA,1990,Gini index,SI.POV.GINI,32.4
Sri Lanka,LKA,1985,Gini index,SI.POV.GINI,32.5
Sri Lanka,LKA,2019,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,11.3
Sri Lanka,LKA,2016,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,13.8
Sri Lanka,LKA,2012,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,19.7
Sri Lanka,LKA,2009,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,23.8
Sri Lanka,LKA,2006,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,29.8
Sri Lanka,LKA,2002,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,42.2
Sri Lanka,LKA,1995,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,47.6
Sri Lanka,LKA,1990,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,49.9
Sri Lanka,LKA,1985,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,51.8
Sri Lanka,LKA,2019,Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,2.1
Sri Lanka,LKA,2016,Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,2.7
Sri Lanka,LKA,2012,Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,4.4
Sri Lanka,LKA,2009,Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,5.4
Sri Lanka,LKA,2006,Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,7.5
Sri Lanka,LKA,2002,Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,12.2
Sri Lanka,LKA,1995,Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,13.6
Sri Lanka,LKA,1990,Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,13.9
Sri Lanka,LKA,1985,Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,16.2
Sri Lanka,LKA,2019,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,14.3
Sri Lanka,LKA,2016,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,16
Sri Lanka,LKA,2012,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,22.5
Sri Lanka,LKA,2009,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,28.4
Sri Lanka,LKA,2006,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,34.1
Sri Lanka,LKA,2002,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,46.8
Sri Lanka,LKA,2019,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,49.3
Sri Lanka,LKA,2016,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,52.8
Sri Lanka,LKA,2012,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,61.5
Sri Lanka,LKA,2009,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,67.4
Sri Lanka,LKA,2006,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,69.4
Sri Lanka,LKA,2002,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,76.8
Sri Lanka,LKA,1995,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,82.5
Sri Lanka,LKA,1990,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,87.2
Sri Lanka,LKA,1985,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,87.6
Sri Lanka,LKA,2019,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,15.6
Sri Lanka,LKA,2016,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,17.4
Sri Lanka,LKA,2012,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,22.3
Sri Lanka,LKA,2009,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,25.5
Sri Lanka,LKA,2006,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,28.7
Sri Lanka,LKA,2002,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,35.8
Sri Lanka,LKA,1995,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,39.4
Sri Lanka,LKA,1990,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,41.8
Sri Lanka,LKA,1985,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,43.3
Sri Lanka,LKA,2019,"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)",SI.SPR.PC40,4.28
Sri Lanka,LKA,2016,"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)",SI.SPR.PC40,4.07
Sri Lanka,LKA,2019,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,1.74
Sri Lanka,LKA,2019,"Survey mean consumption or income per capita, total population (2017 PPP $ per day)",SI.SPR.PCAP,9.25
Sri Lanka,LKA,2016,"Survey mean consumption or income per capita, total population (2017 PPP $ per day)",SI.SPR.PCAP,9.07
Sri Lanka,LKA,2019,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,0.65
Sri Lanka,LKA,2019,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,16
Sri Lanka,LKA,2016,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,2.37
Sri Lanka,LKA,2019,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",SI.POV.MDIM.17,16.9
Sri Lanka,LKA,2016,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",SI.POV.MDIM.17,2.63238
Sri Lanka,LKA,2019,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",SI.POV.MDIM.17.XQ,0.071
Sri Lanka,LKA,2016,"Multidimensional poverty headcount ratio, female (% of female population)",SI.POV.MDIM.FE,2.47342
Sri Lanka,LKA,2016,"Multidimensional poverty headcount ratio, household (% of total households)",SI.POV.MDIM.HH,2.97
Sri Lanka,LKA,2019,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,41.6
Sri Lanka,LKA,2016,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,37.51
Sri Lanka,LKA,2016,"Multidimensional poverty headcount ratio, male (% of male population)",SI.POV.MDIM.MA,2.26367
Sri Lanka,LKA,2019,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,0.067
Sri Lanka,LKA,2016,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,0.0089
